departamento,municipio,id_electoral,ano,tipo_eleccion,fecha_eleccion,codigo_partido,primer_apellido,segundo_apellido,nombres,votos,curules
ANTIOQUIA,LA UNION,119580001,1958,Presidencia,Marzo 16,Partido liberal,LLERAS,CAMARGO,ALBERTO,1342,1
ANTIOQUIA,LA UNION,119580001,1958,Presidencia,Marzo 16,Partido conservador,LEYVA,,JORGE,1,0
ANTIOQUIA,LA UNION,119580001,1958,Presidencia,Marzo 16,19589999.0,OTROS,,,0,0
ANTIOQUIA,LA UNION,119580001,1958,Presidencia,Marzo 16,,VOTOS NULOS,,,0,0
ANTIOQUIA,LA UNION,119580001,1958,Presidencia,Marzo 16,,VOTOS EN BLANCO,,,6,0
ANTIOQUIA,LA UNION,119620000,1962,Presidencia,Mayo 6,Partido conservador,VALENCIA,,GUILLERMO LEON,1204,1
ANTIOQUIA,LA UNION,119620000,1962,Presidencia,Mayo 6,Partido conservador,LEYVA,,JORGE,4,0
ANTIOQUIA,LA UNION,119620000,1962,Presidencia,Mayo 6,19629999.0,OTROS,,,0,0
ANTIOQUIA,LA UNION,119620000,1962,Presidencia,Mayo 6,,VOTOS NULOS,,,255,0
ANTIOQUIA,LA UNION,119620000,1962,Presidencia,Mayo 6,,VOTOS EN BLANCO,,,1,0
ANTIOQUIA,LA UNION,119660000,1966,Presidencia,Mayo 1,Partido liberal,LLERAS,RESTREPO,CARLOS,1214,1
ANTIOQUIA,LA UNION,119660000,1966,Presidencia,Mayo 1,Partido liberal,JARAMILLO,GIRALDO,JOSE,72,0
ANTIOQUIA,LA UNION,119660000,1966,Presidencia,Mayo 1,19669999.0,GOYENECHE,,GABRIEL ANTONIO,0,0
ANTIOQUIA,LA UNION,119660000,1966,Presidencia,Mayo 1,,VOTOS NULOS,,,0,0
ANTIOQUIA,LA UNION,119660000,1966,Presidencia,Mayo 1,,VOTOS EN BLANCO,,,5,0
ANTIOQUIA,LA UNION,119700000,1970,Presidencia,Abril 19,Partido conservador,PASTRANA,BORRERO,MISAEL,1063,1
ANTIOQUIA,LA UNION,119700000,1970,Presidencia,Abril 19,19610001.0,ROJAS,PINILLA,GUSTAVO,403,0
